Model2,1,0.9888
Model2,0,0.801081081
Model2,0,0.801081081
Model2,1,0.9885
Model2,0,0.802094595
Model2,0,0.802094595
Model2,1,0.988
Model2,0,0.797567568
Model2,0,0.797567568
Model2,1,0.989
Model2,0,0.798986486
Model2,0,0.798986486
Model2,1,0.9891
Model2,0,0.800743243
Model2,0,0.800743243
Model2,1,0.9871
Model2,1,0.1034375
Model2,1,0.796824324
Model2,2,0.9897
Model2,2,0.11109375
Model2,2,0.800067568
Model2,3,0.99
Model2,3,0.1115625
Model2,3,0.80222973
Model2,4,0.9891
Model2,4,0.11625
Model2,4,0.801216216
Model2,5,0.9889
Model2,5,0.123359375
Model2,5,0.805067568
Model2,6,0.9883
Model2,6,0.11671875
Model2,6,0.796621622
Model2,7,0.9885
Model2,7,0.12015625
Model2,7,0.800608108
Model2,8,0.9891
Model2,8,0.12609375
Model2,8,0.799662162
Model2,9,0.9894
Model2,9,0.125625
Model2,9,0.800405405
Model2,10,0.9891
Model2,10,0.11859375
Model2,10,0.797094595
Model2,11,0.9885
Model2,11,0.128125
Model2,11,0.798783784
Model2,12,0.9896
Model2,12,0.121875
Model2,12,0.799256757
Model2,13,0.989
Model2,13,0.1171875
Model2,13,0.796081081
Model2,14,0.989
Model2,14,0.12046875
Model2,14,0.799256757
Model2,15,0.9896
Model2,15,0.129082031
Model2,15,0.798378378
Model2,16,0.9894
Model2,16,0.121015625
Model2,16,0.800810811
Model2,17,0.9899
Model2,17,0.117265625
Model2,17,0.798581081
Model2,18,0.9889
Model2,18,0.1334375
Model2,18,0.803243243
Model2,19,0.9905
Model2,19,0.125664063
Model2,19,0.797432432
Model2,20,0.9887
Model2,20,0.11875
Model2,20,0.798513514
Model2,21,0.9892
Model2,21,0.12859375
Model2,21,0.801148649
Model2,22,0.99
Model2,22,0.1259375
Model2,22,0.796756757
Model2,23,0.9891
Model2,23,0.123125
Model2,23,0.798986486
Model2,24,0.9891
Model2,24,0.128515625
Model2,24,0.797297297
Model2,25,0.9889
Model2,25,0.121875
Model2,25,0.799594595
Model2,26,0.9894
Model2,26,0.12234375
Model2,26,0.799527027
Model2,27,0.9893
Model2,27,0.120625
Model2,27,0.798243243
Model2,28,0.9897
Model2,28,0.120859375
Model2,28,0.797027027
Model2,29,0.9894
Model2,29,0.116796875
Model2,29,0.801148649
Model2,30,0.9896
Model2,30,0.121953125
Model2,30,0.799121622
Model2,31,0.9891
Model2,31,0.11484375
Model2,31,0.800472973
Model2,1,0.99
